Question,Answer,Category
"Do you service commercial HVAC systems?","Yes, we provide comprehensive commercial HVAC services for systems under 20 tons, which covers most small to medium commercial buildings including offices, retail spaces, restaurants, medical facilities, and light industrial applications.","commercial"
"What types of commercial buildings do you service?","We service offices, retail stores, restaurants, medical and dental offices, churches, small warehouses, and other commercial spaces with rooftop units or split systems under 20 tons. For larger industrial systems, we can recommend specialized contractors.","commercial"
"Can you work around our business hours?","Absolutely. We understand that HVAC work can disrupt your business operations. We offer flexible scheduling including early morning, evening, and weekend appointments to minimize impact on your customers and employees.","commercial"
"Do you offer commercial maintenance contracts?","Yes, we offer customized maintenance agreements for commercial clients. These include scheduled preventive maintenance, priority emergency service, detailed documentation for your records, and discounted labor rates. Regular maintenance is critical for commercial systems.","commercial"
"How quickly can you respond to commercial emergencies?","We prioritize commercial emergency calls because we understand a failed HVAC system can mean lost revenue, uncomfortable customers, and employee productivity issues. We typically respond to commercial emergencies within 2-4 hours during business hours.","commercial"
"What is the difference between commercial and residential HVAC service?","Commercial systems are typically larger, more complex, and may include rooftop units, multi-zone systems, and building automation controls. They also face heavier usage demands. Our technicians are trained in both residential and light commercial applications.","commercial"
"Can you help reduce our commercial energy costs?","Yes, we can assess your current system's efficiency and recommend upgrades, programmable thermostats, zoning solutions, or replacement units that can significantly reduce energy consumption. Many commercial clients see 20-40% energy savings after upgrading to modern equipment.","commercial"
"Do you handle new construction commercial HVAC installation?","Yes, we work with contractors and business owners on new construction projects for light commercial applications. We can help with system design, equipment selection, installation, and initial setup to ensure your new space is comfortable from day one.","commercial"
"What documentation do you provide for commercial service?","We provide detailed service reports including work performed, parts used, system condition assessment, and recommendations. This documentation is valuable for your records, property management, insurance purposes, and planning future maintenance or capital expenditures.","commercial"
"Are your technicians certified for commercial work?","Yes, our technicians hold EPA certifications for refrigerant handling and are trained in commercial HVAC systems. Many hold additional certifications from manufacturers like Carrier, Trane, and Lennox for commercial equipment service and installation.","commercial"
"How long do HVAC systems typically last?","With proper maintenance, air conditioning systems typically last 15-20 years, while furnaces can last 20-25 years. Heat pumps average 15-18 years. Factors affecting lifespan include maintenance frequency, usage patterns, and local climate conditions.","residential-equipment"
"What size HVAC system do I need for my home?","System sizing depends on your home's square footage, insulation, window placement, ceiling height, and other factors. An undersized system won't cool effectively; an oversized one cycles too frequently. We perform a detailed load calculation to recommend the right size for your home.","residential-equipment"
"What is a SEER rating and why does it matter?","SEER (Seasonal Energy Efficiency Ratio) measures an air conditioner's cooling efficiency. Higher SEER ratings mean greater efficiency and lower energy bills. Current minimum standards require 14-15 SEER, while high-efficiency units reach 20+ SEER. Higher efficiency units cost more upfront but save money over time.","residential-equipment"
"Should I repair or replace my old HVAC system?","Consider replacement if your system is 15+ years old, requires frequent repairs, uses R-22 refrigerant (phased out), or your energy bills are increasing. Generally, if a repair costs more than 50% of a new system's value, replacement is the better investment.","residential-equipment"
"How often should I have my HVAC system serviced?","We recommend professional maintenance twice per year - once in spring for your AC before summer, and once in fall for your heating system before winter. Regular maintenance prevents breakdowns, extends equipment life, maintains efficiency, and keeps warranties valid.","residential-maintenance"
"How often should I change my air filter?","Standard 1-inch filters should be changed every 30-60 days. Higher-quality 4-inch filters can last 3-6 months. Factors like pets, allergies, and home dustiness may require more frequent changes. A dirty filter restricts airflow, reduces efficiency, and can damage your system.","residential-maintenance"
"What does a maintenance visit include?","Our comprehensive maintenance includes inspecting and cleaning components, checking refrigerant levels, testing electrical connections, lubricating moving parts, calibrating the thermostat, checking airflow, inspecting ductwork, and providing a detailed report of your system's condition.","residential-maintenance"
"Do you offer maintenance plans or service agreements?","Yes, we offer annual maintenance plans that include two tune-ups per year, priority scheduling, discounts on repairs, and other benefits. Our plans help you budget for HVAC care while ensuring your system runs efficiently year-round.","residential-maintenance"
"Do you offer free estimates?","Yes, we provide free estimates for new system installations and major repairs. For service calls and diagnostics, we charge a flat diagnostic fee which is waived if you proceed with the recommended repair. We believe in transparent, upfront pricing with no hidden fees.","residential-pricing"
"What payment methods do you accept?","We accept all major credit cards (Visa, MasterCard, American Express, Discover), checks, and cash. For larger installations, we also offer financing options with approved credit to help make your investment more manageable.","residential-pricing"
"Do you offer financing for new HVAC systems?","Yes, we offer flexible financing options for qualified buyers. This allows you to replace your aging system with a new, energy-efficient unit and pay over time with affordable monthly payments. Ask our team about current financing promotions and terms.","residential-pricing"
"How much does a new AC unit cost?","The cost of a new AC system varies based on the size of your home, system efficiency rating (SEER), brand, and any additional work needed. Residential systems typically range from $4,500 to $12,000+ installed. We provide detailed quotes after assessing your specific needs.","residential-pricing"
"How quickly can you schedule a service appointment?","For routine maintenance and non-emergency repairs, we typically schedule appointments within 1-3 business days. During peak season (summer and winter), wait times may be slightly longer. Emergency calls are prioritized and usually addressed same-day or next-day.","residential-scheduling"
"Do I need to be home during the service call?","Yes, we require an adult (18+) to be present during service calls for safety and liability reasons. This also allows our technician to explain findings, discuss options, and answer any questions you may have about your system.","residential-scheduling"
