Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Zone 5 (%),Total Service (%),Total Housing Units,SF Detached,% SF Detached,Other Dwellings,% Other,Median Income
75019,Coppell,1,91.2,8.8,0.0,0.0,0.0,100.0,17329,11809,68.1,5520,31.9,136679
75063,Irving,1,44.5,55.5,0.0,0.0,0.0,100.0,18550,7276,39.2,11274,60.8,106909
75067,Lewisville,1,42.2,57.8,0.0,0.0,0.0,100.0,28733,10948,38.1,17785,61.9,75224
76051,Grapevine,1,34.1,65.9,0.0,0.0,0.0,100.0,22311,12160,54.5,10151,45.5,106726
75028,Flower Mound,2,6.8,57.4,35.8,0.0,0.0,100.0,17841,15549,87.2,2292,12.8,143712
75057,Lewisville,2,5.0,84.8,10.2,0.0,0.0,100.0,7101,2335,32.9,4766,67.1,73935
75010,Carrollton,2,4.5,95.5,0.0,0.0,0.0,100.0,13569,6360,46.9,7209,53.1,98567
75039,Irving,2,2.7,97.3,0.0,0.0,0.0,100.0,12597,1444,11.5,11153,88.5,100474
75022,Flower Mound,2,1.6,32.5,65.8,0.0,0.0,100.0,9329,7778,83.4,1551,16.6,179892
75001,Addison,2,0.0,100.0,0.0,0.0,0.0,100.0,10370,1350,13.0,9020,87.0,77598
75006,Carrollton,2,0.0,100.0,0.0,0.0,0.0,100.0,19226,9391,48.8,9835,51.2,79672
75007,Carrollton,2,0.0,100.0,0.0,0.0,0.0,100.0,20990,15507,73.9,5483,26.1,105969
75038,Irving,2,0.0,100.0,0.0,0.0,0.0,100.0,14822,2286,15.4,12536,84.6,69678
75062,Irving,2,0.0,100.0,0.0,0.0,0.0,100.0,18659,8919,47.8,9740,52.2,68692
75234,Farmers Branch,2,0.0,100.0,0.0,0.0,0.0,100.0,13691,7688,56.2,6003,43.8,85105
75287,Dallas,2,0.0,100.0,0.0,0.0,0.0,100.0,29586,6837,23.1,22749,76.9,60256
76039,Euless,2,0.0,100.0,0.0,0.0,0.0,100.0,18016,7479,41.5,10537,58.5,80176
75244,Dallas,2,0.0,99.8,0.2,0.0,0.0,100.0,6417,2935,45.7,3482,54.3,109440
76021,Bedford,2,0.0,99.4,0.6,0.0,0.0,100.0,15399,8487,55.1,6912,44.9,84539
76092,Southlake,2,0.0,83.8,16.2,0.0,0.0,100.0,9871,9324,94.5,547,5.5,250001
75229,Dallas,2,0.0,83.0,17.0,0.0,0.0,100.0,12410,8839,71.2,3571,28.8,117083
75220,Dallas,2,0.0,77.0,23.0,0.0,0.0,100.0,15635,5344,34.2,10291,65.8,56849
75254,Dallas,2,0.0,76.7,23.3,0.0,0.0,100.0,13792,1573,11.4,12219,88.6,70901
75061,Irving,2,0.0,67.6,32.4,0.0,0.0,100.0,20055,8312,41.4,11743,58.6,58236
76034,Colleyville,2,0.0,67.4,32.6,0.0,0.0,100.0,9386,8983,95.7,403,4.3,196034
76155,Fort Worth,2,0.0,64.2,35.8,0.0,0.0,100.0,3843,21,0.5,3822,99.5,59653
75240,Dallas,2,0.0,60.9,39.1,0.0,0.0,100.0,11949,2063,17.3,9886,82.7,51607
75248,Dallas,2,0.0,48.0,52.0,0.0,0.0,100.0,18521,8235,44.5,10286,55.5,98584
75056,The Colony,2,0.0,46.8,53.2,0.0,0.0,100.0,27692,17925,64.7,9767,35.3,111589
75093,Plano,2,0.0,43.1,56.9,0.0,0.0,100.0,20701,11836,57.2,8865,42.8,121360
75077,Flower Mound,2,0.0,42.1,57.9,0.0,0.0,100.0,14203,12230,86.1,1973,13.9,120254
75024,Plano,2,0.0,34.8,65.2,0.0,0.0,100.0,19756,7996,40.5,11760,59.5,114623
76040,Euless,2,0.0,23.1,76.9,0.0,0.0,100.0,12808,5141,40.1,7667,59.9,65698
76022,Bedford,2,0.0,20.8,79.2,0.0,0.0,100.0,6244,3440,55.1,2804,44.9,70286
75252,Dallas,2,0.0,17.7,82.3,0.0,0.0,100.0,14409,6134,42.6,8275,57.4,77147
75230,Dallas,2,0.0,15.4,84.6,0.0,0.0,100.0,14615,6642,45.4,7973,54.6,109589
76262,Roanoke,2,0.0,12.0,82.6,5.4,0.0,100.0,15639,11666,74.6,3973,25.4,130524
75247,Dallas,2,0.0,10.9,89.1,0.0,0.0,100.0,356,12,3.4,344,96.6,18750
